TAIRID	Tissue_specificity
AT3G01860	chalazal.endosperm
AT3G03260	chalazal.endosperm
AT3G04060	chalazal.endosperm
AT3G05310	chalazal.endosperm
AT3G05860	chalazal.endosperm
AT3G06000	chalazal.endosperm
AT3G07000	chalazal.endosperm
AT3G07270	chalazal.endosperm
AT3G08040	chalazal.endosperm
AT3G09140	chalazal.endosperm
AT3G09380	chalazal.endosperm
AT3G10870	chalazal.endosperm
AT3G11740	chalazal.endosperm
AT3G13280	chalazal.endosperm
AT3G15810	chalazal.endosperm
AT3G17250	chalazal.endosperm
AT3G17350	chalazal.endosperm
AT3G17520	chalazal.endosperm
AT3G19580	chalazal.endosperm
AT3G20300	chalazal.endosperm
AT3G22070	chalazal.endosperm
AT3G22700	chalazal.endosperm
AT3G24060	chalazal.endosperm
AT3G25420	chalazal.endosperm
AT3G26140	chalazal.endosperm
AT3G27770	chalazal.endosperm
AT3G27840	chalazal.endosperm
AT3G30843	chalazal.endosperm
AT3G43280	chalazal.endosperm
AT3G43530	chalazal.endosperm
AT3G44080	chalazal.endosperm
AT3G45250	chalazal.endosperm
AT3G48130	chalazal.endosperm
AT3G51700	chalazal.endosperm
AT3G52690	chalazal.endosperm
AT3G52780	chalazal.endosperm
AT3G54130	chalazal.endosperm
AT3G54580	chalazal.endosperm
AT3G55940	chalazal.endosperm
AT3G57160	chalazal.endosperm
AT3G58210	chalazal.endosperm
AT3G59120	chalazal.endosperm
AT3G59580	chalazal.endosperm
AT3G59790	chalazal.endosperm
AT3G60140	chalazal.endosperm
AT3G61340	chalazal.endosperm
AT3G62060	chalazal.endosperm
AT3G62660	chalazal.endosperm
AT3G66656	chalazal.endosperm
AT4G01120	chalazal.endosperm
AT4G02710	chalazal.endosperm
AT4G03550	chalazal.endosperm
AT4G04990	chalazal.endosperm
AT4G05630	chalazal.endosperm
AT4G08560	chalazal.endosperm
AT4G09510	chalazal.endosperm
AT4G10510	chalazal.endosperm
AT4G10670	chalazal.endosperm
AT4G10950	chalazal.endosperm
AT4G11510	chalazal.endosperm
AT4G12530	chalazal.endosperm
AT4G13960	chalazal.endosperm
AT4G15460	chalazal.endosperm
AT4G18020	chalazal.endosperm
AT4G18870	chalazal.endosperm
AT4G19191	chalazal.endosperm
AT4G19940	chalazal.endosperm
AT4G19960	chalazal.endosperm
AT4G21020	chalazal.endosperm
AT4G21080	chalazal.endosperm
AT4G21130	chalazal.endosperm
AT4G22830	chalazal.endosperm
AT4G22910	chalazal.endosperm
AT4G23450	chalazal.endosperm
AT4G23610	chalazal.endosperm
AT4G25610	chalazal.endosperm
AT4G25770	chalazal.endosperm
AT4G25780	chalazal.endosperm
AT4G25900	chalazal.endosperm
AT4G26140	chalazal.endosperm
AT4G26470	chalazal.endosperm
AT4G27480	chalazal.endosperm
AT4G27550	chalazal.endosperm
AT4G29380	chalazal.endosperm
AT4G31800	chalazal.endosperm
AT4G33980	chalazal.endosperm
AT4G34330	chalazal.endosperm
AT4G35985	chalazal.endosperm
AT4G36600	chalazal.endosperm
AT4G37970	chalazal.endosperm
AT4G39000	chalazal.endosperm
AT4G39180	chalazal.endosperm
AT4G39756	chalazal.endosperm
AT4G39860	chalazal.endosperm
AT5G02600	chalazal.endosperm
AT5G03020	chalazal.endosperm
AT5G03570	chalazal.endosperm
AT5G03840	chalazal.endosperm
AT5G03930	chalazal.endosperm
AT5G04220	chalazal.endosperm
AT5G05070	chalazal.endosperm
AT5G06020	chalazal.endosperm
AT5G06040	chalazal.endosperm
AT5G06330	chalazal.endosperm
AT5G06670	chalazal.endosperm
AT5G06970	chalazal.endosperm
AT5G07780	chalazal.endosperm
AT5G08240	chalazal.endosperm
AT5G09430	chalazal.endosperm
AT5G09490	chalazal.endosperm
AT5G09500	chalazal.endosperm
AT5G09790	chalazal.endosperm
AT5G10660	chalazal.endosperm
AT5G10695	chalazal.endosperm
AT5G12260	chalazal.endosperm
AT5G14740	chalazal.endosperm
AT5G15160	chalazal.endosperm
AT5G16430	chalazal.endosperm
AT5G16770	chalazal.endosperm
AT5G17540	chalazal.endosperm
AT5G17650	chalazal.endosperm
AT5G18430	chalazal.endosperm
AT5G19720	chalazal.endosperm
AT5G20560	chalazal.endosperm
AT5G22600	chalazal.endosperm
AT5G22990	chalazal.endosperm
AT5G23650	chalazal.endosperm
AT5G23870	chalazal.endosperm
AT5G25950	chalazal.endosperm
AT5G26020	chalazal.endosperm
AT5G26840	chalazal.endosperm
AT5G28820	chalazal.endosperm
AT5G35800	chalazal.endosperm
AT5G35920	chalazal.endosperm
AT5G37560	chalazal.endosperm
AT5G38080	chalazal.endosperm
AT5G38710	chalazal.endosperm
AT5G39560	chalazal.endosperm
AT5G40010	chalazal.endosperm
AT5G40360	chalazal.endosperm
AT5G41450	chalazal.endosperm
AT5G41720	chalazal.endosperm
AT5G41730	chalazal.endosperm
AT5G41800	chalazal.endosperm
AT5G42370	chalazal.endosperm
AT5G42910	chalazal.endosperm
AT5G45690	chalazal.endosperm
AT5G47730	chalazal.endosperm
AT5G47740	chalazal.endosperm
AT5G47900	chalazal.endosperm
AT5G50480	chalazal.endosperm
AT5G50720	chalazal.endosperm
AT5G51030	chalazal.endosperm
AT5G52480	chalazal.endosperm
AT5G53520	chalazal.endosperm
AT5G55080	chalazal.endosperm
AT5G55490	chalazal.endosperm
AT5G56150	chalazal.endosperm
AT5G56620	chalazal.endosperm
AT5G56830	chalazal.endosperm
AT5G57740	chalazal.endosperm
AT5G59430	chalazal.endosperm
AT5G61290	chalazal.endosperm
AT5G62165	chalazal.endosperm
AT5G62920	chalazal.endosperm
AT5G63740	chalazal.endosperm
AT5G63760	chalazal.endosperm
AT5G64990	chalazal.endosperm
AT5G65020	chalazal.endosperm
AT5G65090	chalazal.endosperm
AT5G65300	chalazal.endosperm
AT5G65890	chalazal.endosperm
AT5G66150	chalazal.endosperm
AT5G67520	chalazal.endosperm
AT4G29630	chalazal.seed.coat
AT1G10680	chalazal.seed.coat
AT1G34410	chalazal.seed.coat
AT5G25410	chalazal.seed.coat
AT2G16960	chalazal.seed.coat
AT3G20030	chalazal.seed.coat
AT2G44250	chalazal.seed.coat
AT4G29580	chalazal.seed.coat
AT1G06270	chalazal.seed.coat
AT4G15870	chalazal.seed.coat
AT4G21480	chalazal.seed.coat
AT5G07880	chalazal.seed.coat
AT5G41440	chalazal.seed.coat
AT5G14180	chalazal.seed.coat
AT1G50340	chalazal.seed.coat
AT4G13070	chalazal.seed.coat
AT5G37420	chalazal.seed.coat
AT2G22290	chalazal.seed.coat
AT5G62120	chalazal.seed.coat
